idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
28,10.135852911378953,53.6764246482945,10.1350784,10.1366462,53.6760758,53.6768019,nan,nan,4434.542888502518,school,nan,1995.544299826133,401254.0700875397,1149.0,24.80878218346505
29,10.13639547968386,53.675896093757466,10.1361302,10.1366137,53.6757874,53.6760142,nan,nan,548.3983596675098,school,nan,246.7792618503794,49621.14007656504,1149.0,24.808306484381717
30,10.136879355329595,53.675782944526425,10.1366438,10.1370964,53.6755192,53.6761723,nan,nan,802.6285141331027,school,nan,361.1828313598962,72624.83781569113,1149.0,24.808204650073783
31,10.135865058829866,53.67543462727242,10.1354142,10.1362115,53.6752527,53.6756636,nan,nan,1282.981352338713,school,nan,577.3416085524208,116088.963939678,1149.0,24.807891164545183
32,10.13524089419899,53.675576535384536,10.1350298,10.1354313,53.6754475,53.6756902,nan,nan,394.8869501550216,school,nan,177.69912756975972,35730.85207608943,1149.0,24.80801888184608
33,10.134770592371368,53.67621570278208,10.1344828,10.135034,53.6760329,53.676403,nan,nan,940.5195417189972,school,nan,423.2337937735487,85101.7350830163,1149.0,24.80859413250387
34,10.135306905908193,53.67587055362093,10.1348225,10.1357897,53.6756289,53.6760929,nan,nan,1911.798808529391,school,nan,860.309463838226,172986.72544127126,1149.0,24.808283498258838
35,10.141502900722037,53.69401474986478,10.1412414,10.1417644,53.6938611,53.6941684,nan,nan,981.1939081028104,school,nan,441.53725864626466,88704.83526203455,1148.0,24.824613274878303
36,10.141016468553705,53.69354910038737,10.1407222,10.1414366,53.693393,53.6937569,nan,nan,1261.2367719667964,school,nan,567.5565473850584,114022.11036965821,1148.0,24.824194190348635
37,10.140929599999998,53.69391029999999,10.1408481,10.1410111,53.6938471,53.6939735,nan,nan,145.91019788524136,school,nan,65.65958904835861,13191.011439815244,1148.0,24.824519269999996
38,9.987270557825504,53.45790286190082,9.9862855,9.9879792,53.4572912,53.4586614,nan,nan,7863.971907158644,retail,nan,3538.78735822139,715896.6825681871,1156.0,24.61211257571074
39,9.830601578747457,53.47153024813419,9.8304666,9.8307366,53.4714834,53.4715771,nan,nan,128.97151513770223,commercial,nan,58.037181811966,11720.608866926534,1154.0,24.62437722332077
40,9.966028932462208,53.55382209018286,9.9655204,9.9665424,53.5535602,53.5540779,nan,flat,2156.930989972316,yes,nan,1941.2378909750846,391693.27545149764,1153.0,24.698439881164575
41,9.989043906936269,53.56252689332924,9.9884667,9.9895944,53.5621967,53.5628739,nan,round,2841.9165266491477,university,nan,1278.8624369921165,258042.46822408427,1153.0,24.706274203996315
42,9.987462245746466,53.56333986369153,9.9869155,9.9880366,53.5629965,53.5636704,nan,hipped,2818.711682746187,university,nan,1268.4202572357842,255935.49740375034,1153.0,24.70700587732238
43,9.89916209680561,53.58937999469314,9.8979661,9.9002866,53.5888462,53.5899082,nan,nan,12740.74763078522,stadium,nan,5733.336433853349,1155840.6250648352,1152.0,24.730441995223828
44,10.000092834470587,53.552874288881306,9.9989203,10.0012685,53.5522381,53.5534997,nan,nan,7631.814114816487,parking,nan,3434.316351667419,692959.1818576934,1153.0,24.697586859993173
